Game to Catch in,Catch Methods,Pokemon
Pokémon Black 2," Routes 4, 5, and 16
",Trubbish
Pokémon White 2," Routes 5 and 16
",Trubbish
Pokémon X and Y," Lost Hotel (trash cans)
",Trubbish
Pokémon Omega Ruby and Alpha Sapphire," Route 110 (hidden Pokémon*)
",Trubbish
Pokémon Sun and Moon," Malie City
",Trubbish
Pokémon Ultra Sun and Ultra Moon," Malie City
",Trubbish
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Trubbish
Pokémon Sword and Shield," Route 3
",Trubbish
Pokémon Rumble Blast," Tower: Firebreathing Mountain
",Trubbish
PokéPark 2: Wonders Beyond," Cove Area
",Trubbish
Pokémon Mystery Dungeon: Gates to Infinity," Great Glacier (1F-14F), Glacial Underpass (B1-B9), Redland Reaches (1F-10F), Eastern Savanna (1F-14F), Grove of Whispers (1F-9F), Silent Tundra (Gilded Hall), Dreamy Island (Gilded Hall), Moonlit Forest (Uncharted Road, Gilded Hall), Rusty Mountain (Uncharted Road), Skill Treasury (1F-15F)
",Trubbish
Pokémon Rumble U," Melodious Woodland: Major Clean-Up
",Trubbish
Pokémon Battle Trozei," Dragon Hill: Stage 1
",Trubbish
Pokémon Shuffle," Wacky Workshop: Stage 160
",Trubbish
Pokémon Rumble World," Plasma Tundra: Abundant Orchard (All Areas)
",Trubbish
Pokémon Black and White," Evolve Archen
",Archeops
Pokémon Black 2 and White 2," Evolve Archen
",Archeops
Pokémon X and Y," Evolve Archen
",Archeops
Pokémon Omega Ruby," Evolve Archen
",Archeops
Pokémon Alpha Sapphire," Trade
",Archeops
Pokémon Sun," Trade
",Archeops
Pokémon Moon," Evolve Archen
",Archeops
Pokémon Ultra Sun and Ultra Moon," Evolve Archen
",Archeops
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Archeops
Pokémon Sword and Shield," Unobtainable
",Archeops
Pokémon Rumble Blast," Treetops: World Axle - B2F
",Archeops
Pokémon Mystery Dungeon: Gates to Infinity," Hazy Pass (Gilded Hall), Stompstump Peak (Gilded Hall), Desolate Canyon (Gilded Hall), Forest Grotto (Gilded Hall), Tempting Path (Gilded Hall), Forest of Shadows (1F-14F), Daybreak Ridge (Gilded Hall), Ochre Quarry (Gilded Hall), Grove of Whispers (Gilded Hall), Freezing Pillar (1F-14F), Canyon Foot (1F-9F), Silent Tundra (Uncharted Road, Gilded Hall), Dreamy Island (Uncharted Road, Gilded Hall), Moonlit Forest (Gilded Hall)
",Archeops
Pokémon Rumble U," Wonder Area: Pokémon Outbreak! (Boss), Conductor Room: King of the Sky
",Archeops
Pokémon Battle Trozei," Sacred Plains: Stage 3
",Archeops
Pokémon Shuffle," Event: Archeops Appears, Event: Great Daily Pokémon (Third release)
",Archeops
Pokémon Rumble World," Fairy Land: Ancient Stronghold (Back Boss)
",Archeops
Pokémon Black and White," Revive from Plume Fossil at the Nacrene Museum
",Archen
Pokémon Black 2 and White 2," Revive from Plume Fossil at the Nacrene Museum
",Archen
Pokémon X and Y," Revive from Plume Fossil at the Ambrette Town Fossil Lab
",Archen
Pokémon Omega Ruby," Revive from Plume Fossil at the Devon Corporation in Rustboro City
",Archen
Pokémon Alpha Sapphire," Trade, Receive Plume Fossil held by a traded Pokémon and revive it
",Archen
Pokémon Sun," Trade, Receive Plume Fossil held by a traded Pokémon and revive it
",Archen
Pokémon Moon," Revive from Plume Fossil at the Fossil Restoration Center on Route 8
",Archen
Pokémon Ultra Sun and Ultra Moon," Revive from Plume Fossil at the Fossil Restoration Center on Route 8
",Archen
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Archen
Pokémon Sword and Shield," Unobtainable
",Archen
Pokémon Rumble Blast," Treetops: Sun-Dappled Bank, World Axle - B2F
",Archen
Pokémon Mystery Dungeon: Gates to Infinity," Desolate Canyon (1F-7F), Mountain Pass (1F-7F), Inflora Forest (1F-8F), Breezy Meadow (1F-8F), Silent Tundra (Uncharted Road, Gilded Hall), Dreamy Island (Uncharted Road, Gilded Hall), Moonlit Forest (Gilded Hall)
",Archen
Pokémon Rumble U," Wonder Area: Pokémon Outbreak!
",Archen
Pokémon Battle Trozei," Island of Haste: Stage 6
",Archen
Pokémon Shuffle," Graucus Hall: Stage 452
",Archen
Pokémon Rumble World," Fairy Land: Ancient Stronghold (All Areas, Entrance Boss)
",Archen
Pokémon Black and White," Evolve Tirtouga
",Carracosta
Pokémon Black 2 and White 2," Evolve Tirtouga
",Carracosta
Pokémon X and Y," Evolve Tirtouga
",Carracosta
Pokémon Omega Ruby," Trade
",Carracosta
Pokémon Alpha Sapphire," Evolve Tirtouga
",Carracosta
Pokémon Sun," Evolve Tirtouga
",Carracosta
Pokémon Moon," Trade
",Carracosta
Pokémon Ultra Sun and Ultra Moon," Evolve Tirtouga
",Carracosta
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Carracosta
Pokémon Sword and Shield," Unobtainable
",Carracosta
Pokémon Rumble Blast," Lake: World Axle - B2F
",Carracosta
Pokémon Mystery Dungeon: Gates to Infinity," Tyrian Maze (B1-B11), Glacier Palace - Eastern Spire (1F-12F), Silent Tundra (Uncharted Road, Gilded Hall), Dreamy Island (Uncharted Road, Gilded Hall), Moonlit Forest (Gilded Hall), Scalchop Beach (1F-14F)
",Carracosta
Pokémon Rumble U," Entranceway: The Hidden Basement
",Carracosta
Pokémon Battle Trozei," Sky-High Ruins: Stage 2
",Carracosta
Pokémon Shuffle," Event: Carracosta Appears, Event: Great Daily Pokémon (Second release)
",Carracosta
Pokémon Rumble World," Ruby Volcano: Lake of Tranquility (Center Boss, Back)
",Carracosta
Pokémon Masters," Sync Pair Scout (Marlon's)
",Carracosta
Pokémon Black and White," Revive from Cover Fossil at the Nacrene Museum
",Tirtouga
Pokémon Black 2 and White 2," Revive from Cover Fossil at the Nacrene Museum
",Tirtouga
Pokémon Dream World," Sparkling Sea*
",Tirtouga
Pokémon X and Y," Revive from Cover Fossil at the Ambrette Town Fossil Lab
",Tirtouga
Pokémon Omega Ruby," Trade, Receive Cover Fossil held by a traded Pokémon and revive it
",Tirtouga
Pokémon Alpha Sapphire," Revive from Cover Fossil at the Devon Corporation in Rustboro City
",Tirtouga
Pokémon Sun," Revive from Cover Fossil at the Fossil Restoration Center on Route 8
",Tirtouga
Pokémon Moon," Trade, Receive Cover Fossil held by a traded Pokémon and revive it
",Tirtouga
Pokémon Ultra Sun and Ultra Moon," Revive from Cover Fossil at the Fossil Restoration Center on Route 8
",Tirtouga
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Tirtouga
Pokémon Sword and Shield," Unobtainable
",Tirtouga
Pokémon Rumble Blast," Lake: Sun-Dappled Bank, World Axle - B2F
",Tirtouga
Pokémon Mystery Dungeon: Gates to Infinity," Glacier Palace (1F-13F), Silent Tundra (Uncharted Road, Gilded Hall), Dreamy Island (Uncharted Road, Gilded Hall), Moonlit Forest (Gilded Hall)
",Tirtouga
Pokémon Rumble U," Entranceway: The Hidden Basement
",Tirtouga
Pokémon Battle Trozei," Safari Jungle: Stage 3^We
",Tirtouga
Pokémon Shuffle," Graucus Hall: Stage 475
",Tirtouga
Pokémon Rumble World," Ruby Volcano: Lake of Tranquility (All Areas)
",Tirtouga
Pokémon Black and White," Relic Castle
",Cofagrigus
Pokémon Black 2 and White 2," Evolve Yamask
",Cofagrigus
Pokémon X and Y," Trade
",Cofagrigus
Pokémon Omega Ruby and Alpha Sapphire," Mirage Caves (north of Route 124, south of Route 131)
",Cofagrigus
Pokémon Sun and Moon," Pokémon Bank
",Cofagrigus
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank, Event
",Cofagrigus
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Cofagrigus
Pokémon Sword and Shield," Evolve Yamask ^Unovan Form
",Cofagrigus
Pokémon Rumble Blast," Cave: Rugged Flats
",Cofagrigus
PokéPark 2: Wonders Beyond," Wish Park
",Cofagrigus
Pokémon Mystery Dungeon: Gates to Infinity," Poké Forest (6F-10F)
",Cofagrigus
Pokémon Rumble U," Sealed Door: The Place to Return To
",Cofagrigus
Pokémon Battle Trozei," Dragon Hill: Stage 2
",Cofagrigus
Pokémon Shuffle," Pedra Valley: Stage 196
",Cofagrigus
Pokémon Rumble World," Distortion Land: Withered Cemetery (Center Boss, Back, Special)
",Cofagrigus
Pokémon Black and White," Relic Castle
",Yamask
Pokémon Black 2 and White 2," Relic Castle
",Yamask
Pokémon X and Y," Trade
",Yamask
Pokémon Omega Ruby and Alpha Sapphire," Breed Cofagrigus
",Yamask
Pokémon Sun and Moon," Pokémon Bank
",Yamask
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Yamask
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Yamask
Pokémon Sword and Shield," Trade Galarian Yamask in Ballonlea ^Unova Form, Route 6 ^Galarian Form, Bridge Field, Dusty Bowl, Giant's Mirror, Rolling Fields, South Lake Miloch, Stony Wilderness, Watchtower Ruins (Max Raid Battle) ^Galarian Form
",Yamask
Pokémon Rumble Blast," Cave: Rugged Flats
",Yamask
PokéPark 2: Wonders Beyond," Wish Park
",Yamask
Pokémon Mystery Dungeon: Gates to Infinity," Great Glacier (1F-14F), Redland Reaches (1F-10F), Eastern Savanna (1F-14F)
",Yamask
Pokémon Rumble U," Vehicle Gallery: A Flowing Desert
",Yamask
Pokémon Battle Trozei," Dragon Hill: Stage 2
",Yamask
Pokémon Shuffle," Wacky Workshop: Stage 164
",Yamask
Pokémon Rumble World," Distortion Land: Withered Cemetery (All Areas)
",Yamask
Pokémon Picross," Area 19: Stage 05
",Yamask
Pokémon Black and White," Desert Resort
",Sigilyph
Pokémon Black 2 and White 2," Desert Resort, Desert Resort (N's Pokémon) ,  Transfer from Dream Radar
",Sigilyph
Pokémon Dream World," Windswept Sky*
",Sigilyph
Pokémon X and Y," Route 10, Friend Safari (Psychic)
",Sigilyph
Pokémon Omega Ruby and Alpha Sapphire," Trade
",Sigilyph
Pokémon Sun and Moon," Trade
",Sigilyph
Pokémon Ultra Sun and Ultra Moon," Ultra Space Wilds (Cliff World)
",Sigilyph
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Sigilyph
Pokémon Sword and Shield,"
",Sigilyph
Pokémon Rumble Blast," Desert: Rugged Flats, Tower: All*
",Sigilyph
PokéPark 2: Wonders Beyond," Wish Park
",Sigilyph
Pokémon Rumble U," Vehicle Gallery: A Flowing Desert (Boss)
",Sigilyph
Pokémon Battle Trozei," Dragon Hill: Stage 2
",Sigilyph
Pokémon Shuffle," Event: The Daily Pokémon (#2)
",Sigilyph
Pokémon Rumble World," Fairy Land: Guardian's Peak (All Areas, Entrance Boss),, Legend Terrain: Meteorite Parkland (Special)
",Sigilyph
Pokémon Black and White," Evolve Scraggy
",Scrafty
Pokémon Black 2 and White 2," Routes 15 and 18, P2 Laboratory, Route 1 (dark grass)
",Scrafty
Pokémon X and Y," Evolve Scraggy
",Scrafty
Pokémon Omega Ruby and Alpha Sapphire," Evolve Scraggy
",Scrafty
Pokémon Sun and Moon," Trade
",Scrafty
Pokémon Ultra Sun and Ultra Moon," Evolve Scraggy
",Scrafty
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Scrafty
Pokémon Sword,"
",Scrafty
Pokémon Shield," Trade
",Scrafty
Pokémon Rumble Blast," Tower: Soothing Shore, Firebreathing Mountain, World Axle - B2F
",Scrafty
PokéPark 2: Wonders Beyond," Arcane Area
",Scrafty
Pokémon Conquest," Pugilis, Yaksha
",Scrafty
Pokémon Mystery Dungeon: Gates to Infinity," Silent Tundra (Gilded Hall), Dreamy Island (Gilded Hall), Moonlit Forest (Uncharted Road, Gilded Hall), Rusty Mountain (Uncharted Road), Mt. Travail (8F-20F)
",Scrafty
Pokémon Rumble U," Wonder Area: Pokémon Outbreak!, Secret Warehouse: Walking a Thin Line
",Scrafty
Pokémon Battle Trozei," Colossal Forest: Stage 4
",Scrafty
Pokémon Shuffle," Violeta Palace: Stage 382
",Scrafty
Pokémon Rumble World," Plasma Tundra: Abundant Orchard (Center Boss, Back, Special)
",Scrafty
Pokémon Black and White," Routes 4 and 18, Desert Resort, P2 Laboratory, Route 1 (dark grass)
",Scraggy
Pokémon Black 2 and White 2," Route 4 and Desert Resort, Desert Resort (N's Pokémon)
",Scraggy
Pokémon Dream World," Dream Park*
",Scraggy
Pokémon X and Y," Route 5 (Horde Encounter)
",Scraggy
Pokémon Omega Ruby and Alpha Sapphire," Route 113 (hidden Pokémon*)
",Scraggy
Pokémon Sun and Moon," Trade
",Scraggy
Pokémon Ultra Sun and Ultra Moon," Routes 16 and 17
",Scraggy
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Scraggy
Pokémon Sword,"
",Scraggy
Pokémon Shield," Trade
",Scraggy
Pokémon Rumble Blast," Tower: Challenger's Ground, Soothing Shore, Firebreathing Mountain
",Scraggy
PokéPark 2: Wonders Beyond," Crag Area
",Scraggy
Pokémon Conquest," Pugilis, Yaksha, Avia, Nixtorm
",Scraggy
Pokémon Mystery Dungeon: Gates to Infinity," Silent Tundra (Gilded Hall), Dreamy Island (Gilded Hall), Moonlit Forest (Uncharted Road, Gilded Hall), Rusty Mountain (Uncharted Road), Mt. Travail (1F-7F), Axe Rock (1F-14F)
",Scraggy
Pokémon Rumble U," Wonder Area: Pokémon Outbreak!, Secret Warehouse: Walking a Thin Line
",Scraggy
Pokémon Battle Trozei," Colossal Forest: Stage 4
",Scraggy
Pokémon Shuffle," Violeta Palace: Stage 376
",Scraggy
Pokémon Rumble World," Plasma Tundra: Abundant Orchard (All Areas)
",Scraggy
Pokémon Picross," Area 12: Stage 01
",Scraggy
Pokémon Black and White," Route 18 (dark grass)
",Crustle
Pokémon Black 2 and White 2," Route 18, Seaside Cave (One)*
",Crustle
Pokémon Dream World," Rugged Mountain*
",Crustle
Pokémon X and Y," Evolve Dwebble
",Crustle
Pokémon Omega Ruby and Alpha Sapphire," Mirage Mountains (north of Route 125, southeast of Route 129; both by Rock Smash)
",Crustle
Pokémon Sun and Moon," Trade
",Crustle
Pokémon Ultra Sun and Ultra Moon," Ultra Space Wilds (Cave World)
",Crustle
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Crustle
Pokémon Sword and Shield," Axew's Eye
",Crustle
Pokémon Rumble Blast," Canyon: Volcanic Slope
",Crustle
PokéPark 2: Wonders Beyond," Crag Area
",Crustle
Pokémon Mystery Dungeon: Gates to Infinity," Glacier Palace - Eastern Spire (1F-12F), Glacier Palace - Western Spire (1F-12F), Silent Tundra (Uncharted Road, Gilded Hall), Dreamy Island (Uncharted Road, Gilded Hall), Moonlit Forest (Gilded Hall)
",Crustle
Pokémon Rumble U," Model Train Room: Working Gears, Conductor Room: Frozen Runway (Capsule Cage)
",Crustle
Pokémon Battle Trozei," Safari Jungle: Stage 1^Su
",Crustle
Pokémon Shuffle," Prasino Woods: Stage 590
",Crustle
Pokémon Rumble World," Silver Isles: Bewildering Cave (Center Boss, Back, Special)
",Crustle
Pokémon Black and White," Route 18 and Desert Resort
",Dwebble
Pokémon Black 2 and White 2," Desert Resort
",Dwebble
Pokémon X and Y," Routes 8 and 12, Cyllage City, Ambrette Town, Glittering Cave, Azure Bay (Rock Smash), Friend Safari (Rock)
",Dwebble
Pokémon Omega Ruby and Alpha Sapphire," Route 111 (hidden Pokémon*)
",Dwebble
Pokémon Sun and Moon," Trade
",Dwebble
Pokémon Ultra Sun and Ultra Moon," Breed Crustle
",Dwebble
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Dwebble
Pokémon Sword and Shield," Rolling Fields, West Lake Axewell, East Lake Axewell, North Lake Miloch, South Lake Miloch, Watchtower Ruins, Giant's Seat, Stony Wilderness, Hammerlocke Hills
",Dwebble
Pokémon Rumble Blast," Canyon: Volcanic Slope, Field: Volcanic Slope
",Dwebble
PokéPark 2: Wonders Beyond," Crag Area
",Dwebble
Pokémon Mystery Dungeon: Gates to Infinity," Ochre Quarry (1F-13F), Freezing Pillar (1F-14F), Windy Shoreline (1F-11F), Silent Tundra (Uncharted Road, Gilded Hall), Dreamy Island (Uncharted Road, Gilded Hall), Moonlit Forest (Gilded Hall), Skill Treasury (1F-15F)
",Dwebble
Pokémon Rumble U," Model Train Room: Working Gears
",Dwebble
Pokémon Battle Trozei," Safari Jungle: Stage 1^Su
",Dwebble
Pokémon Shuffle," Prasino Woods: Stage 587
",Dwebble
Pokémon Rumble World," Silver Isles: Bewildering Cave (All Areas)
",Dwebble
Pokémon Picross," Area 16: Stage 02
",Dwebble
Pokémon Black and White," Desert Resort
",Maractus
Pokémon Black 2 and White 2," Desert Resort
",Maractus
Pokémon Dream World," Rugged Mountain*
",Maractus
Pokémon X and Y," Friend Safari (Grass)
",Maractus
Pokémon Omega Ruby and Alpha Sapphire," Mirage Island (South of Route 134)
",Maractus
Pokémon Sun and Moon," Pokémon Bank
",Maractus
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Maractus
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Maractus
Pokémon Sword and Shield,"
",Maractus
Pokémon Rumble Blast," Desert: Rugged Flats
",Maractus
PokéPark 2: Wonders Beyond," Cove Area
",Maractus
Pokémon Rumble U," Flower Garden: The Garden at the End of Time
",Maractus
Pokémon Battle Trozei," Colossal Forest: Stage 3
",Maractus
Pokémon Shuffle," Event: The Daily Pokémon (#5)
",Maractus
Pokémon Rumble World," Starlight Islands: Surveillance Dunes (All Areas, Entrance Boss)
",Maractus
Pokémon Black and White," Desert Resort (five, always have Zen Mode)
",Darmanitan
Pokémon Black 2 and White 2," Desert Resort (N's Pokémon)
",Darmanitan
Pokémon X and Y," Trade
",Darmanitan
Pokémon Omega Ruby and Alpha Sapphire," Mirage Islands (west of Route 104 and north of Route 113), Mirage Mountain (east of Route 125)
",Darmanitan
Pokémon Sun and Moon," Pokémon Bank
",Darmanitan
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Darmanitan
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Darmanitan
Pokémon Sword," Pokémon HOME ^Unova Form, Dusty Bowl, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Stony Wilderness (Max Raid Battle) ^Galarian Form
",Darmanitan
Pokémon Shield," Pokémon HOME ^Unova Form, Trade ^Galarian Form
",Darmanitan
Pokémon Rumble Blast," Lava: Volcanic Slope, World Axle - B1F (Standard Mode), Lava: Firebreathing Mountain (Zen Mode)
",Darmanitan
PokéPark 2: Wonders Beyond," Crag Area
",Darmanitan
Pokémon Conquest," Evolve Darumaka
",Darmanitan
Pokémon Rumble U," Toy Collection: Launch to Victory! (Boss, can take Zen Mode form)
",Darmanitan
Pokémon Black and White," Route 4, Desert Resort
",Darumaka
Pokémon Black 2 and White 2," Route 4, Desert Resort, Desert Resort (N's Pokémon)
",Darumaka
Pokémon X and Y," Trade
",Darumaka
Pokémon Omega Ruby and Alpha Sapphire," Breed Darmanitan
",Darumaka
Pokémon Sun and Moon," Pokémon Bank
",Darumaka
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Darumaka
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Darumaka
Pokémon Sword," Pokémon HOME ^Unova Form, Routes 8 and 10 ^Galarian Form, Dusty Bowl, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Stony Wilderness (Max Raid Battle) ^Galarian Form
",Darumaka
Pokémon Shield," Pokémon HOME ^Unova Form, Trade ^Galarian Form
",Darumaka
Pokémon Rumble Blast," Lava: Volcanic Slope, Firebreathing Mountain, World Axle - B1F; , Field: Firebreathing Mountain
",Darumaka
PokéPark 2: Wonders Beyond," Crag Area
",Darumaka
Pokémon Conquest," Ignis
",Darumaka
Pokémon Rumble U," Toy Collection: Launch to Victory!
",Darumaka
Pokémon Battle Trozei," Colossal Forest: Stage 2
",Darumaka
Pokémon Shuffle," Event: Pokémon Safari (Second release)
",Darumaka
Pokémon Rumble World," Ruby Volcano: Smoldering Caldera (All Areas)
",Darumaka
Pokémon Black and White," Evolve Krokorok
",Krookodile
Pokémon Black 2 and White 2," Evolve Krokorok
",Krookodile
Pokémon Dream World," Rugged Mountain*
",Krookodile
Pokémon X and Y," Evolve Krokorok
",Krookodile
Pokémon Omega Ruby and Alpha Sapphire," Evolve Krokorok
",Krookodile
Pokémon Sun and Moon," Evolve Krokorok
",Krookodile
Pokémon Ultra Sun and Ultra Moon," Evolve Krokorok
",Krookodile
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Krookodile
Pokémon Sword and Shield," Unobtainable
",Krookodile
Pokémon Rumble Blast," Desert: Rugged Flats (post ending)
",Krookodile
PokéPark 2: Wonders Beyond," Cove Area
",Krookodile
Pokémon Conquest," Evolve Krokorok
",Krookodile
Pokémon Mystery Dungeon: Gates to Infinity," Canyon Foot (1F-9F), Rusty Mountain (Gilded Hall), Jaws of the Abyss (Uncharted Road, Gilded Hall), Smoking Mountain (Uncharted Road, Gilded Hall)
",Krookodile
Pokémon Rumble U," Magical Lake: Protect Pichu in the Forest, Toy Collection: The Sword for Justice
",Krookodile
Pokémon Battle Trozei," Safari Jungle: Stage 2^Tu
",Krookodile
Pokémon Shuffle," Desert Umbra: Stage 349
",Krookodile
Pokémon Rumble World," Black Realm: Rugged Flats (Back Boss)
",Krookodile
Pokémon Black and White," Relic Castle
",Krokorok
Pokémon Black 2 and White 2," Relic Castle
",Krokorok
Pokémon X and Y," Evolve Sandile
",Krokorok
Pokémon Omega Ruby and Alpha Sapphire," Evolve Sandile
",Krokorok
Pokémon Sun and Moon," Evolve Sandile
",Krokorok
Pokémon Ultra Sun and Ultra Moon," Haina Desert
",Krokorok
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Krokorok
Pokémon Sword and Shield," Unobtainable
",Krokorok
Pokémon Rumble Blast," Desert: Rugged Flats
",Krokorok
PokéPark 2: Wonders Beyond," Cove Area
",Krokorok
Pokémon Conquest," Terrera, Yaksha
",Krokorok
Pokémon Mystery Dungeon: Gates to Infinity," Forest of Shadows (1F-14F), Grove of Whispers (1F-9F), Freezing Pillar (1F-14F), Rusty Mountain (Gilded Hall), Jaws of the Abyss (Uncharted Road, Gilded Hall), Smoking Mountain (Uncharted Road, Gilded Hall), Mt. Travail (8F-15F)
",Krokorok
Pokémon Rumble U," Magical Lake: Protect Pichu in the Forest, Toy Collection: The Sword for Justice
",Krokorok
Pokémon Battle Trozei," Sky-High Ruins: Stage 3
",Krokorok
Pokémon Shuffle," Desert Umbra: Stage 346
",Krokorok
Pokémon Rumble World," Black Realm: Rugged Flats (All Areas), Starlight Islands: Surveillance Dunes (All Areas)
",Krokorok
Pokémon Black and White," Route 4, Desert Resort, Relic Castle
",Sandile
Pokémon Black 2 and White 2," Route 4, Desert Resort, Relic Castle, Desert Resort (N's Pokémon)
",Sandile
Pokémon X and Y," Route 9, Friend Safari (Dark)
",Sandile
Pokémon Omega Ruby and Alpha Sapphire," Route 111 (hidden Pokémon*)
",Sandile
Pokémon Sun and Moon," Haina Desert
",Sandile
Pokémon Ultra Sun and Ultra Moon," Breed Krokorok or Krookodile
",Sandile
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Sandile
Pokémon Sword and Shield," Unobtainable
",Sandile
Pokémon Rumble Blast," Desert: Rugged Flats, Field: Rugged Flats
",Sandile
PokéPark 2: Wonders Beyond," Cove Area
",Sandile
Pokémon Conquest," Terrera, Cragspur, Yaksha
",Sandile
Pokémon Mystery Dungeon: Gates to Infinity," Tempting Path (1F-9F), Telluric Path (B1-B10), Redland Reaches (1F-10F), Rusty Mountain (Gilded Hall), Jaws of the Abyss (Uncharted Road, Gilded Hall), Smoking Mountain (Uncharted Road, Gilded Hall), Axe Rock (4F-14F)
",Sandile
Pokémon Rumble U," Magical Lake: Protect Pichu in the Forest
",Sandile
Pokémon Battle Trozei," Safari Jungle: Stage 1^Tu
",Sandile
Pokémon Shuffle," Desert Umbra: Stage 327
",Sandile
Pokémon Rumble World," Black Realm: Rugged Flats (All Areas), Starlight Islands: Surveillance Dunes (All Areas)
",Sandile
Pokémon Picross," Area 12: Stage 02
",Sandile
Pokémon Black," Routes 1, 3, 6, 11, 14, Striaton City, Wellspring Cave, Pinwheel Forest, Dragonspiral Tower, Challenger's Cave, Victory Road, Village Bridge, Giant Chasm, Abundant Shrine, Lostlorn Forest (Surfing or fishing; Red-Striped Form) (Rippling water; Blue-Striped Form), Trade Minccino in Driftveil City (Red-Striped Form)
",Basculin
Pokémon White," Routes 1, 3, 6, 11, 14, Striaton City, Wellspring Cave, Pinwheel Forest, Dragonspiral Tower, Challenger's Cave, Victory Road, Village Bridge, Giant Chasm, Abundant Shrine, Lostlorn Forest (Surfing or fishing; Blue-Striped Form) (Rippling water; Red-Striped Form), Trade Minccino in Driftveil City (Blue-Striped Form)
",Basculin
Pokémon Black 2," Routes 1, 3, 6, 11, 13, 14, 19, 20, 22, 23, Aspertia City, Floccesy Ranch, Relic Passage, Clay Tunnel, Dragonspiral Tower, Striaton City, Wellspring Cave, Pinwheel Forest, Undella Town, Humilau City, Victory Road, Village Bridge, Giant Chasm, Abundant Shrine, Nature Preserve, Lostlorn Forest (Surfing or fishing; Red-Striped Form) (Rippling water; Blue-Striped Form)
",Basculin
Pokémon White 2," Routes 1, 3, 6, 11, 13, 14, 19, 20, 22, 23, Aspertia City, Floccesy Ranch, Relic Passage, Clay Tunnel, Dragonspiral Tower, Striaton City, Wellspring Cave, Pinwheel Forest, Undella Town, Humilau City, Victory Road, Village Bridge, Giant Chasm, Abundant Shrine, Nature Preserve, Lostlorn Forest (Surfing or fishing; Blue-Striped Form) (Rippling water; Red-Striped Form)
",Basculin
Pokémon Dream World," Sparkling Sea*
",Basculin
Pokémon X," Routes 15 and 16, Laverre City, Couriway Town, Frost Cavern, Pokémon Village, Victory Road (Good Rod; Blue-Striped Form), Routes 15 and 16, Laverre City, Couriway Town, Frost Cavern, Pokémon Village, Victory Road (Super Rod; Red-Striped Form), Route 21 (Good Rod or Super Rod; Red-Striped Form only)
",Basculin
Pokémon Y," Routes 15 and 16, Laverre City, Couriway Town, Frost Cavern, Pokémon Village, Victory Road (Good Rod; Red-Striped Form), Routes 15 and 16, Laverre City, Couriway Town, Frost Cavern, Pokémon Village, Victory Road (Super Rod; Blue-Striped Form), Route 21 (Good Rod or Super Rod; Red-Striped Form only)
",Basculin
Pokémon Omega Ruby and Alpha Sapphire," Trade
",Basculin
Pokémon Sun and Moon," Trade
",Basculin
Pokémon Ultra Sun," Brooklet Hill, Malie Garden, Vast Poni Canyon (Fishing; Red-Striped Form), Trade (Blue-Striped Form)
",Basculin
Pokémon Ultra Moon," Brooklet Hill, Malie Garden, Vast Poni Canyon (Fishing; Blue-Striped Form), Trade (Red-Striped Form)
",Basculin
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Basculin
Pokémon Sword," (Red-Striped Form) Hulbury, North Lake Miloch, Bridge Field, Trade (Blue-Striped Form)
",Basculin
Pokémon Shield," (Blue-Striped Form), Trade (Red-Striped Form)
",Basculin
Pokémon Rumble Blast," Lake: Soothing Shore (Blue-Striped), Lake: Shimmering Lake (Red-Striped)
",Basculin
PokéPark 2: Wonders Beyond," Arbor Area
",Basculin
Pokémon Rumble U," Frenzy Square: Make a Big Splash! (both fins)
",Basculin
Pokémon Battle Trozei," Infinite Ruins: Stage 2 (Red fin), Island of Haste: Stage 4 (Blue fin)
",Basculin
Pokémon Shuffle," Prasino Woods: Stage 594 (Red-Striped Form), Zaffiro Coast: Stage 607 (Blue-Striped Form)
",Basculin
